Event_Date,observations
2012-01-31,411.00000000000017
2012-02-29,247.00000000000006
2012-03-31,252.00000000000003
2012-04-30,222.00000000000017
2012-05-31,246.00000000000014
2012-06-30,304.00000000000034
2012-07-31,240.99999999999974
2012-08-31,215.9999999999999
2012-09-30,307.00000000000017
2012-10-31,321.0
2012-11-30,146.99999999999997
2012-12-31,231.99999999999977
2013-01-31,596.0000000000001
2013-02-28,310.00000000000034
2013-03-31,990.0000000000001
2013-04-30,960.0000000000026
2013-05-31,378.0000000000001
2013-06-30,266.0000000000002
2013-07-31,293.99999999999966
2013-08-31,198.0
2013-09-30,223.99999999999974
2013-10-31,275.0000000000001
2013-11-30,369.99999999999955
2013-12-31,177.99999999999983
2014-01-31,236.0000000000001
2014-02-28,1198.0000000000011
2014-03-31,1171.9999999999986
2014-04-30,549.9999999999998
2014-05-31,438.0000000000001
2014-06-30,185.00000000000009
2014-07-31,486.99999999999994
2014-08-31,152.0
2014-09-30,130.99999999999983
2014-10-31,205.00000000000023
2014-11-30,209.99999999999994
2014-12-31,232.99999999999991
2015-01-31,274.00000000000006
2015-02-28,704.0000000000005
2015-03-31,524.9999999999994
2015-04-30,339.0000000000005
2015-05-31,334.99999999999994
2015-06-30,499.9999999999985
2015-07-31,264.9999999999997
2015-08-31,348.99999999999966
2015-09-30,520.9999999999995
2015-10-31,242.00000000000009
2015-11-30,300.9999999999999
2015-12-31,357.00000000000017
2016-01-31,383.00000000000125
2016-02-29,166.00000000000006
2016-03-31,273.00000000000097
2016-04-30,202.00000000000006
2016-05-31,496.0000000000011
2016-06-30,689.0000000000014
2016-07-31,226.99999999999986
2016-08-31,587.0000000000002
2016-09-30,489.00000000000017
2016-10-31,503.9999999999992
2016-11-30,284.99999999999983
2016-12-31,316.00000000000006
2017-01-31,103.99999999999989
2017-02-28,155.99999999999986
2017-03-31,272.0000000000001
2017-04-30,869.9999999999994
2017-05-31,823.0000000000007
2017-06-30,575.9999999999997
2017-07-31,788.0000000000015
2017-08-31,858.0000000000001
2017-09-30,232.99999999999991
2017-10-31,220.00000000000009
2017-11-30,288.0000000000003
2017-12-31,272.0000000000001
2018-01-31,422.99999999999943
2018-02-28,341.0000000000007
2018-03-31,261.00000000000057
2018-04-30,307.00000000000017
2018-05-31,633.9999999999999
2018-06-30,214.0000000000003
2018-07-31,90.99999999999989
2018-08-31,464.0
2018-09-30,257.99999999999955
2018-10-31,206.99999999999994
2018-11-30,158.00000000000014
2018-12-31,277.99999999999994
2019-01-31,1198.0000000000011
2019-02-28,943.9999999999981
2019-03-31,854.0000000000003
2019-04-30,761.9999999999995
2019-05-31,881.0000000000034
2019-06-30,602.0000000000003
2019-07-31,503.9999999999992
2019-08-31,316.00000000000006
2019-09-30,391.0
2019-10-31,248.00000000000009
2019-11-30,238.9999999999999
2019-12-31,158.00000000000014
2020-01-31,391.9999999999988
2020-02-29,321.0
2020-03-31,188.99999999999986
2020-04-30,87.00000000000007
2020-05-31,346.1367524709892
2020-06-30,194.98870547673528
2020-07-31,278.74821044792424
2020-08-31,435.2580760865659
2020-09-30,321.6085205826896
2020-10-31,323.24572973061197
2020-11-30,436.910184486827
2020-12-31,455.3103043216477
2021-01-31,427.49114443395615
2021-02-28,494.64424310551226
2021-03-31,564.4382680031413
2021-04-30,572.1376884211405
2021-04-30,362.8828242388176
2021-05-31,222.75235699754757
2021-06-30,280.16073232888124
2021-07-31,305.6155367197403
2021-08-31,275.1496502197184
2021-09-30,276.4859773926157
2021-10-31,285.75780561800934
2021-11-30,282.30315653722164
2021-12-31,280.330589783625
2022-01-31,282.08884682818217
2022-02-28,282.178389020827
2022-03-31,281.5675793106505
