Event_Date,observations
2012-01-31,1339.0000000000114
2012-02-29,1541.0000000000064
2012-03-31,1399.000000000009
2012-04-30,1072.9999999999816
2012-05-31,274.00000000000006
2012-06-30,636.9999999999976
2012-07-31,356.99999999999886
2012-08-31,279.00000000000017
2012-09-30,336.99999999999994
2012-10-31,288.0000000000008
2012-11-30,317.99999999999983
2012-12-31,305.9999999999975
2013-01-31,149.99999999999946
2013-02-28,221.00000000000009
2013-03-31,191.9999999999997
2013-04-30,240.99999999999974
2013-05-31,455.0
2013-06-30,381.00000000000136
2013-07-31,245.0000000000021
2013-08-31,245.9999999999997
2013-09-30,275.9999999999997
2013-10-31,290.00000000000074
2013-11-30,208.99999999999957
2013-12-31,118.00000000000027
2014-01-31,310.0000000000012
2014-02-28,406.0000000000003
2014-03-31,224.00000000000054
2014-04-30,299.0000000000012
2014-05-31,213.99999999999974
2014-06-30,232.9999999999989
2014-07-31,301.00000000000256
2014-08-31,144.0000000000009
2014-09-30,374.00000000000176
2014-10-31,569.9999999999932
2014-11-30,710.0000000000015
2014-12-31,302.0000000000003
2015-01-31,295.0000000000004
2015-02-28,296.99999999999983
2015-03-31,297.99999999999926
2015-04-30,258.0000000000004
2015-05-31,422.9999999999942
2015-06-30,229.99999999999943
2015-07-31,297.99999999999926
2015-08-31,226.00000000000068
2015-09-30,292.9999999999996
2015-10-31,301.00000000000256
2015-11-30,265.99999999999983
2015-12-31,191.00000000000037
2016-01-31,444.0000000000055
2016-02-29,527.0000000000001
2016-03-31,222.00000000000014
2016-04-30,271.9999999999997
2016-05-31,231.9999999999981
2016-06-30,441.9999999999987
2016-07-31,167.99999999999926
2016-08-31,372.00000000000085
2016-09-30,449.00000000000574
2016-10-31,259.9999999999997
2016-11-30,259.9999999999997
2016-12-31,161.0000000000006
2017-01-31,449.99999999999807
2017-02-28,436.99999999999915
2017-03-31,280.9999999999997
2017-04-30,215.99999999999991
2017-05-31,311.9999999999989
2017-06-30,305.9999999999975
2017-07-31,344.99999999999983
2017-08-31,228.00000000000026
2017-09-30,329.9999999999993
2017-10-31,245.9999999999997
2017-11-30,192.99999999999952
2017-12-31,153.99999999999974
2018-01-31,263.0000000000003
2018-02-28,339.99999999999983
2018-03-31,283.0000000000003
2018-04-30,422.9999999999942
2018-05-31,258.99999999999994
2018-06-30,252.00000000000068
2018-07-31,562.9999999999973
2018-08-31,302.0000000000003
2018-09-30,263.0000000000003
2018-10-31,493.99999999999926
2018-11-30,352.9999999999987
2018-12-31,292.9999999999996
2019-01-31,376.00000000000335
2019-02-28,207.99999999999923
2019-03-31,288.0000000000008
2019-04-30,355.0000000000007
2019-05-31,344.99999999999983
2019-06-30,701.9999999999992
2019-07-31,475.0000000000017
2019-08-31,350.0000000000024
2019-09-30,242.99999999999932
2019-10-31,374.99999999999864
2019-11-30,821.0000000000092
2019-12-31,591.0000000000002
2020-01-31,316.0000000000006
2020-02-29,203.99999999999832
2020-03-31,183.00000000000009
2020-04-30,229.00000000000088
2020-05-31,333.1369377807727
2020-06-30,333.9238141158916
2020-07-31,355.3407280225223
2020-08-31,393.6409390957902
2020-09-30,364.59001288144884
2020-10-31,372.7830377531168
2020-11-30,385.6596957381479
2020-12-31,399.80386158049487
2021-01-31,410.38031839871314
2021-02-28,411.8884099359625
2021-03-31,421.48932088336187
2021-04-30,433.7621964683326
2021-04-30,328.4263580102721
2021-05-31,339.11865807212223
2021-06-30,391.1299113404145
2021-07-31,371.5478340021893
2021-08-31,372.10701101070725
2021-09-30,376.7694825620888
2021-10-31,388.7499447527113
2021-11-30,392.4186962208378
2021-12-31,396.4666123133704
2022-01-31,401.25931034932887
2022-02-28,407.36198002703526
2022-03-31,412.6416166074686
